Year,Month,Date,Forest_type,Observers,Sample.Label,Count_Point,Time_Detected,distance,Noise_Level,Effort,Area,Region.Label,detection_type,Notes
2020,July,7272020,PICO,TM/DT,Canyon,1,3,150,1,4,77.715,YELL,A,
2020,July,7272020,PICO,TM/DT,Canyon,4,2,300,0,4,77.715,YELL,A,
2020,July,7272020,PICO,TM/DT,Canyon,4,2,175,0,4,77.715,YELL,A,
2020,July,7272020,PICO,TM/DT,Canyon,5,3,125,0,4,77.715,YELL,A,
2020,July,7282020,PIFL,TM/AD,Mammoth,1,2,300,2,4,77.715,YELL,A,Sounds like begging.
2020,July,7282020,PIFL,TM/AD,Mammoth,1,3,191,2,4,77.715,YELL,V,"PQ, audio after."
2020,July,7282020,PIFL,TM/AD,Mammoth,2,1,200,3,4,77.715,YELL,A,Sounds like juvi begging from above
2020,July,7282020,PIFL,TM/AD,Mammoth,3,1,300,4,4,77.715,YELL,A,
2020,July,7282020,PIFL,TM/AD,Mammoth,5,2,175,4,4,77.715,YELL,A,"Heard again, moving away"
2020,July,7282020,PSME,TM/AD,Bear Jam,2,1,450,2,4,77.715,YELL,A,"Heard again at 5-10 interval, closer. Again at 10-15."
2020,July,7282020,PSME,TM/AD,Bear Jam,2,3,150,2,4,77.715,YELL,A,"Could be same as other, but probably different."
2020,July,7282020,PSME,TM/AD,Bear Jam,3,1,77,2,4,77.715,YELL,V,PV
2020,July,7282020,PSME,TM/AD,Bear Jam,3,1,77,2,4,77.715,YELL,V,PV
2020,July,7282020,PSME,TM/AD,Bear Jam,3,1,94,2,4,77.715,YELL,V,"PV, CR"
2020,July,7282020,PSME,TM/AD,Bear Jam,3,2,107,2,4,77.715,YELL,A,
2020,July,7282020,PSME,TM/AD,Bear Jam,3,3,77,2,4,77.715,YELL,V,"PV, FJ"
2020,July,7282020,PSME,TM/AD,Bear Jam,4,1,200,1,4,77.715,YELL,A,Think same as one at last point. (Adult)
2020,July,7282020,PSME,TM/AD,Bear Jam,4,1,200,1,4,77.715,YELL,A,Think same Juvi as last point.
2020,July,7282020,PSME,TM/AD,Bear Jam,4,1,200,1,4,77.715,YELL,A,Think same as one at last point (Adult)
2020,July,7282020,PSME,TM/AD,Bear Jam,4,2,468,1,4,77.715,YELL,A,
2020,July,7282020,PSME,TM/AD,Bear Jam,5,3,350,1,4,77.715,YELL,A,
2020,July,7282020,PSME,TM/AD,Bear Jam,5,3,450,1,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,2,1,200,2,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,2,2,250,2,4,77.715,YELL,A,*A drizzel began at the end of 15 minutes.
2020,July,7292020,PICO,TM/AD,DeLacy North,3,2,170,1,4,77.715,YELL,A,"Vis, Came closer"
2020,July,7292020,PICO,TM/AD,DeLacy North,3,2,80,1,4,77.715,YELL,A,"Vis, Juvi"
2020,July,7292020,PICO,TM/AD,DeLacy North,3,2,450,1,4,77.715,YELL,A,"getting closer, FO that landed."
2020,July,7292020,PICO,TM/AD,DeLacy North,4,3,350,1,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,4,1,215,1,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,5,2,250,1,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,5,2,250,1,4,77.715,YELL,A,
2020,July,7292020,PICO,TM/AD,DeLacy North,5,2,225,1,4,77.715,YELL,A,Juvi
