Year,Forest_type,Observers,Sample.Label,Month,Noise_Level,Effort,Area,Region.Label,distance,date,Time_Detected
2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.01,9/7/2019,1
2019,PIAL,TM/KL,Avalanche Peak,9,3,5,77.715,YELL,0.016,9/7/2019,1
2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.03,9/7/2019,1
2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.041,9/7/2019,1
2019,PSME,TM/DT,Bear Jam,8,2,7,77.715,YELL,0.031,7/29/2019,1
2019,PICO,TM/KL,Canyon,10,0,7,77.715,YELL,NA,10/11/2019,0
2019,PICO,TM/KL,Canyon,8,0,7,77.715,YELL,NA,8/6/2019,0
2019,PICO,TM/KL,Canyon,9,0,7,77.715,YELL,NA,9/9/2019,0
2019,PICO,DT/WW,DeLacy North,9,0,7,77.715,YELL,NA,9/7/2019,0
2019,PICO,TM/KL,DeLacy North,10,0,7,77.715,YELL,NA,10/13/2019,0
2019,PIAL,DT/WW,DeLacy South,10,0,7,77.715,YELL,NA,10/13/2019,0
2019,PIAL,DT/TM/AC,DeLacy South,8,1,7,77.715,YELL,0.015,8/5/2019,1
2019,PIAL,DT/TM/AC,DeLacy South,8,1,7,77.715,YELL,0.027,8/5/2019,1
2019,PIAL,TM/DT,Dunraven,8,3,6,77.715,YELL,0.009,8/3/2019,1
2019,PIAL,TM/DT,Dunraven,8,2,6,77.715,YELL,0.01,8/3/2019,1
2019,PIAL,TM/DT,Dunraven,8,2,6,77.715,YELL,0.013,8/3/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.009,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.009,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.01,9/8/2019,1
2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.01,9/8/2019,1
