,Year,Forest_type,Observers,Sample.Label,Month,Noise_Level,Effort,Area,Region.Label,distance
610,2020,PIFL,TM/AD,Mammoth,July,2,7,77.715,YELL,0.191
82,2020,PSME,TM/AD,Bear Jam,July,2,7,77.715,YELL,0.077
91,2020,PSME,TM/AD,Bear Jam,July,2,7,77.715,YELL,0.077
101,2020,PSME,TM/AD,Bear Jam,July,2,7,77.715,YELL,0.094
121,2020,PSME,TM/AD,Bear Jam,July,2,7,77.715,YELL,0.077
331,2020,PICO,TM/AD,DeLacy North,August,3,7,77.715,YELL,0.063
381,2020,PICO,TM/MBA,DeLacy North,September,4,7,77.715,YELL,0.045
391,2020,PICO,TM/MBA,DeLacy North,September,1,7,77.715,YELL,0.023
401,2020,PICO,TM/MBA,DeLacy North,September,1,7,77.715,YELL,0.023
96,2020,PIFL,TM/AD,Confluence,August,3,4,77.715,YELL,0.191
97,2020,PIFL,TM/AD,Confluence,August,3,4,77.715,YELL,0.191
98,2020,PIFL,TM/AD,Confluence,August,3,4,77.715,YELL,0.191
99,2020,PIFL,TM/AD,Confluence,August,3,4,77.715,YELL,0.191
125,2020,PIAL,TM/AD,DeLacy South,July,2,7,77.715,YELL,0.016
132,2020,PIAL,TM/AD,DeLacy South,August,2,7,77.715,YELL,0.024
133,2020,PIAL,TM/AD,DeLacy South,August,2,7,77.715,YELL,0.018
135,2020,PIAL,TM/AD,DeLacy South,August,2,7,77.715,YELL,0.029
139,2020,PIAL,TM/AD,DeLacy South,August,2,7,77.715,YELL,0.027
156,2020,PIAL,TM/AD,Avalanche Peak,August,1,5,77.715,YELL,0.015
168,2020,PIAL,TM/AD,Dunraven,August,0,6,77.715,YELL,0.015
176,2020,PSME,TM/AD,Trout Lake,August,0,7,77.715,YELL,0.06
177,2020,PSME,TM/AD,Trout Lake,August,0,7,77.715,YELL,0.07
184,2020,PIFL,TM/AD,Mammoth,August,4,7,77.715,YELL,0.029
187,2020,PIFL,TM/DT,Mammoth,September,3,7,77.715,YELL,0.0275
188,2020,PIFL,TM/DT,Mammoth,September,4,7,77.715,YELL,0.5
190,2020,PIEN,TM/WW,West Thumb,September,1,4,77.715,YELL,0.012
191,2020,PIEN,TM/WW,West Thumb,September,2,4,77.715,YELL,0.035
192,2020,PIEN,TM/WW,West Thumb,September,2,4,77.715,YELL,0.03
195,2020,PIAL,TM/WW,Avalanche Peak,September,2,5,77.715,YELL,0.1
199,2020,PIAL,DT/DS,Dunraven,September,0,6,77.715,YELL,0.0145
201,2020,PIAL,DT/DS,Dunraven,September,0,6,77.715,YELL,0.015
205,2020,PIAL,DT/DS,Dunraven,September,0,6,77.715,YELL,0.0285
212,2020,PIAL,DT/DS,Dunraven,September,0,6,77.715,YELL,0.089
218,2020,PIAL,DT/WW,DeLacy South,September,2,7,77.715,YELL,0.038
219,2020,PSME,TM/LW,Trout Lake,September,2,7,77.715,YELL,0.037
220,2020,PICO,DT/WW,Canyon,September,1,7,77.715,YELL,0.038
225,2020,PSME,TM/WW,Bear Jam,September,2,7,77.715,YELL,0.071
226,2020,PSME,TM/WW,Bear Jam,September,2,7,77.715,YELL,0.161
228,2020,PSME,TM/WW,Bear Jam,September,3,7,77.715,YELL,0.091
229,2020,PSME,TM/WW,Bear Jam,September,3,7,77.715,YELL,0.094
231,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.18
232,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.058
233,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.176
234,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.299
235,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.26
236,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.158
237,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.163
238,2020,PIFL,TM/DT,Confluence,September,2,4,77.715,YELL,0.0115
239,2020,PIFL,TM/DT,Confluence,September,2,4,77.715,YELL,0.036
240,2020,PIFL,TM/DT,Confluence,September,2,4,77.715,YELL,0.169
242,2020,PIFL,TM/DT,Confluence,September,2,4,77.715,YELL,0.037
243,2020,PIFL,TM/DT,Confluence,September,2,4,77.715,YELL,0.071
244,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.086
245,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.121
246,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.125
247,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.125
248,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.125
250,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.084
251,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.1
252,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.102
253,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.06
254,2020,PIFL,TM/DT,Confluence,September,3,4,77.715,YELL,0.084
258,2020,PIEN,AC/WW,West Thumb,October,0,4,77.715,YELL,0.025
259,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.045
260,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.015
262,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.142
263,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.35
264,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.35
265,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.037
266,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.037
268,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.009
271,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.0355
277,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.027
278,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.021
279,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.021
280,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.021
282,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.006
283,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.041
285,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.024
286,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.014
287,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.026
288,2020,PIAL,TM/DT,Dunraven,October,0,6,77.715,YELL,0.002
289,2020,PSME,AC/WW,Trout Lake,October,3,7,77.715,YELL,0.042
290,2020,PSME,AC/WW,Trout Lake,October,3,7,77.715,YELL,0.042
291,2020,PSME,AC/WW,Trout Lake,October,3,7,77.715,YELL,0.042
295,2020,PIEN,AC/WW,Baronette,October,2,4,77.715,YELL,0.054
298,2020,PIEN,AC/WW,Baronette,October,2,4,77.715,YELL,0.06
301,2020,PIFL,TM/DT,Confluence,October,3,4,77.715,YELL,0.08
302,2020,PIFL,TM,Mammoth,October,3,7,77.715,YELL,0.1
304,2020,PIFL,TM,Mammoth,October,5,7,77.715,YELL,0.028
305,2020,PIFL,TM,Mammoth,October,5,7,77.715,YELL,0.028
307,2020,PIFL,TM,Mammoth,October,4,7,77.715,YELL,0.175
308,2020,PIFL,TM,Mammoth,October,4,7,77.715,YELL,0.175
309,2020,PIFL,TM,Mammoth,October,4,7,77.715,YELL,0.038
310,2020,PIFL,TM,Mammoth,October,4,7,77.715,YELL,0.054
1,2019,PIAL,TM/AC,Avalanche Peak,8,2,5,77.715,YELL,0.045
2,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.01
3,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.01
4,2019,PIAL,TM/KL,Avalanche Peak,9,3,5,77.715,YELL,0.016
5,2019,PIAL,TM/KL,Avalanche Peak,9,3,5,77.715,YELL,0.017
6,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.02
7,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.03
8,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.03
9,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.04
10,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.041
11,2019,PIAL,TM/KL,Avalanche Peak,9,1,5,77.715,YELL,0.046
12,2019,PSME,TM/DT,Bear Jam,8,2,7,77.715,YELL,0.031
13,2019,PSME,DT/WW,Bear Jam,9,2,7,77.715,YELL,0.33
14,2019,PSME,DT/WW,Bear Jam,9,2,7,77.715,YELL,0.33
15,2019,PSME,DT/WW,Bear Jam,10,0,7,77.715,YELL,0.028
16,2019,PSME,DT/WW,Bear Jam,10,0,7,77.715,YELL,0.043
17,2019,PSME,DT/WW,Bear Jam,10,0,7,77.715,YELL,0.043
18,2019,PICO,TM/KL,Canyon,10,0,7,77.715,YELL,NA
19,2019,PICO,TM/KL,Canyon,8,0,7,77.715,YELL,NA
20,2019,PICO,TM/KL,Canyon,9,0,7,77.715,YELL,NA
21,2019,PICO,DT/WW,Delacy North,9,0,7,77.715,YELL,NA
22,2019,PICO,TM/KL,Delacy North,10,0,7,77.715,YELL,NA
23,2019,PICO,TM/AC,Delacy North,8,3,7,77.715,YELL,0.075
24,2019,PICO,DT/WW,Delacy South,9,3,7,77.715,YELL,0.027
25,2019,PIAL,DT/WW,Delacy South,10,0,7,77.715,YELL,NA
26,2019,PIAL,DT/WW,Delacy South,9,2,7,77.715,YELL,0.028
27,2019,PIAL,DT/TM/AC,Delacy South,8,1,7,77.715,YELL,0.015
28,2019,PIAL,DT/TM/AC,Delacy South,8,1,7,77.715,YELL,0.027
29,2019,PIAL,DT/TM/AC,Delacy South,8,2,7,77.715,YELL,0.047
30,2019,PIAL,DT/TM/AC,Delacy South,8,2,7,77.715,YELL,0.047
31,2019,PIAL,DT/TM/AC,Delacy South,8,3,7,77.715,YELL,0.016
32,2019,PIAL,TM/DT,Dunraven,8,3,6,77.715,YELL,0.009
33,2019,PIAL,TM/DT,Dunraven,8,2,6,77.715,YELL,0.01
34,2019,PIAL,TM/DT,Dunraven,8,2,6,77.715,YELL,0.013
35,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.009
36,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.009
37,2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.01
38,2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.01
39,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.011
40,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.011
41,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.012
42,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.012
43,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.012
44,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.012
45,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.014
46,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.014
47,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.015
48,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.015
49,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.019
50,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.019
51,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021
52,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021
53,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021
54,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.021
55,2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.025
56,2019,PIAL,TM/KL,Dunraven,9,2,6,77.715,YELL,0.025
57,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.035
58,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.035
59,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.037
60,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.037
61,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.04
62,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.044
63,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.044
64,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05
65,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05
66,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05
67,2019,PIAL,TM/KL,Dunraven,9,3,6,77.715,YELL,0.05
68,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.056
69,2019,PIAL,TM/KL,Dunraven,9,1,6,77.715,YELL,0.056
70,2019,PIFL,TM/AC,Mammoth,8,4,7,77.715,YELL,0.015
71,2019,PIFL,TM/AC,Mammoth,8,3,7,77.715,YELL,0.286
72,2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.016
73,2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.02
74,2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.065
75,2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.105
76,2019,PIFL,TM/KL,Mammoth,10,5,7,77.715,YELL,NA
77,2019,PIFL,TM/KL,Mammoth,9,5,7,77.715,YELL,0.142
78,2019,PSME,DT/WW,Trout Lake,9,2,7,77.715,YELL,0
79,2019,PSME,TM/KL,Trout Lake,10,1,7,77.715,YELL,0.054
80,2019,PSME,TM/KL,Trout Lake,10,1,7,77.715,YELL,0.06
81,2019,PSME,TM/KL,Trout Lake,8,0,7,77.715,YELL,NA
